"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
16,"Wed","2021-12-01","19:00","Brest",1.7,"1-0",0.7,"Saint-Étienne",13248,"Stade Francis-Le Blé","Mikael Lesage","Match Report",NA
16,"Wed","2021-12-01","19:00","Metz",1.5,"1-3",1.4,"Montpellier",13992,"Stade Saint-Symphorien","Ruddy Buquet","Match Report",NA
16,"Wed","2021-12-01","21:00","Rennes",0.8,"1-2",0.6,"Lille",25392,"Roazhon Park","Stéphanie Frappart","Match Report",NA
16,"Wed","2021-12-01","21:00","Nantes",0.2,"0-1",1.1,"Marseille",34018,"Stade de la Beaujoire - Louis Fonteneau","Eric Wattellier","Match Report",NA
16,"Wed","2021-12-01","21:00","Paris S-G",1.8,"0-0",0.8,"Nice",47502,"Parc des Princes","Clément Turpin","Match Report",NA
16,"Wed","2021-12-01","21:00","Lyon",2.3,"1-2",1.1,"Reims",NA,"Groupama Stadium","Benoît Millot","Match Report",NA
16,"Wed","2021-12-01","21:00","Clermont Foot",1.4,"2-2",0.9,"Lens",11948,"Stade Gabriel Montpied","Amaury Delerue","Match Report",NA
17,"Sat","2021-12-04","17:00","Marseille",2.2,"1-2",1.6,"Brest",54413,"Orange Vélodrome","Antony Gautier","Match Report",NA
17,"Sat","2021-12-04","19:00","Lille",1.5,"2-1",0.4,"Troyes",28286,"Stade Pierre-Mauroy","Benoît Bastien","Match Report",NA
17,"Sat","2021-12-04","21:00","Lens",1.2,"1-1",1.9,"Paris S-G",36685,"Stade Bollaert-Delelis","François Letexier","Match Report",NA
17,"Sun","2021-12-05","13:00","Saint-Étienne",0.6,"0-5",2.1,"Rennes",11257,"Stade Geoffroy-Guichard","Thomas Léonard","Match Report",NA
17,"Sun","2021-12-05","15:00","Montpellier",0.7,"1-0",0.4,"Clermont Foot",9643,"Stade de la Mosson","Florent Batta","Match Report",NA
17,"Sun","2021-12-05","15:00","Monaco",1.8,"4-0",0.5,"Metz",4923,"Stade Louis II.","Bastien Dechepy","Match Report",NA
17,"Sun","2021-12-05","15:00","Reims",1.3,"1-2",2,"Angers",8238,"Stade Auguste-Delaune II","Johan Hamel","Match Report",NA
17,"Sun","2021-12-05","15:00","Lorient",0.7,"0-1",0.2,"Nantes",16025,"Stade Yves Allainmat - Le Moustoir","Ruddy Buquet","Match Report",NA
17,"Sun","2021-12-05","17:00","Nice",1.2,"0-3",2.6,"Strasbourg",16220,"Stade de Nice","Jérémie Pignard","Match Report",NA
17,"Sun","2021-12-05","20:45","Bordeaux",2.4,"2-2",2.3,"Lyon",25210,"Stade Matmut-Atlantique","Jérôme Brisard","Match Report",NA
18,"Fri","2021-12-10","21:00","Nantes",1.4,"3-2",1.1,"Lens",21890,"Stade de la Beaujoire - Louis Fonteneau","Stéphanie Frappart","Match Report",NA
18,"Sat","2021-12-11","17:00","Brest",0.9,"0-4",1.5,"Montpellier",13111,"Stade Francis-Le Blé","Benoît Millot","Match Report",NA
18,"Sat","2021-12-11","21:00","Reims",2.3,"2-0",0.1,"Saint-Étienne",12019,"Stade Auguste-Delaune II","Pierre Gaillouste","Match Report",NA
18,"Sun","2021-12-12","13:00","Lille",2,"0-0",0.4,"Lyon",40248,"Stade Pierre-Mauroy","Amaury Delerue","Match Report",NA
18,"Sun","2021-12-12","15:00","Angers",1.1,"0-1",1.7,"Clermont Foot",8149,"Stade Raymond Kopa","Jeremy Stinat","Match Report",NA
18,"Sun","2021-12-12","15:00","Rennes",1.5,"1-2",1.2,"Nice",27892,"Roazhon Park","Willy Delajod","Match Report",NA
18,"Sun","2021-12-12","15:00","Troyes",1.4,"1-2",0.8,"Bordeaux",7950,"Stade de l'Aube","Romain Lissorgue","Match Report",NA
18,"Sun","2021-12-12","15:00","Metz",0.9,"4-1",1.3,"Lorient",14037,"Stade Saint-Symphorien","Eric Wattellier","Match Report",NA
18,"Sun","2021-12-12","17:00","Strasbourg",2,"0-2",0.6,"Marseille",26028,"Stade de la Meinau","Mikael Lesage","Match Report",NA
18,"Sun","2021-12-12","20:45","Paris S-G",1.6,"2-0",0.7,"Monaco",41154,"Parc des Princes","Benoît Bastien","Match Report",NA
19,"Wed","2021-12-22","21:00","Lyon",1.6,"1-1",0.4,"Metz",34867,"Groupama Stadium","Pierre Gaillouste","Match Report",NA
19,"Wed","2021-12-22","21:00","Saint-Étienne",1.2,"0-1",0.7,"Nantes",23681,"Stade Geoffroy-Guichard","Clément Turpin","Match Report",NA
19,"Wed","2021-12-22","21:00","Lorient",1.3,"1-1",2.1,"Paris S-G",16603,"Stade Yves Allainmat - Le Moustoir","Jérémie Pignard","Match Report",NA
19,"Wed","2021-12-22","21:00","Nice",0.8,"2-1",1.3,"Lens",22065,"Stade de Nice","Jérôme Brisard","Match Report",NA
19,"Wed","2021-12-22","21:00","Monaco",1.4,"2-1",1.2,"Rennes",5354,"Stade Louis II.","Ruddy Buquet","Match Report",NA
19,"Wed","2021-12-22","21:00","Marseille",1.3,"1-1",0.7,"Reims",55908,"Orange Vélodrome","François Letexier","Match Report",NA
19,"Wed","2021-12-22","21:00","Montpellier",1,"4-1",0.6,"Angers",10990,"Stade de la Mosson","Hugo Miguel","Match Report",NA
19,"Wed","2021-12-22","21:00","Troyes",1.1,"1-1",0.5,"Brest",6872,"Stade de l'Aube","Johan Hamel","Match Report",NA
19,"Wed","2021-12-22","21:00","Bordeaux",1.2,"2-3",1.3,"Lille",39967,"Stade Matmut-Atlantique","Mikael Lesage","Match Report",NA
20,"Fri","2022-01-07","21:00","Bordeaux",0.8,"0-1",2.1,"Marseille",NA,"Stade Matmut-Atlantique","Eric Wattellier","Match Report",NA
20,"Sat","2022-01-08","21:00","Lens",0.7,"1-0",0.3,"Rennes",5000,"Stade Bollaert-Delelis","Benoît Bastien","Match Report",NA
20,"Sun","2022-01-09","13:00","Brest",1.7,"0-3",1.5,"Nice",5102,"Stade Francis-Le Blé","Stéphanie Frappart","Match Report",NA
20,"Sun","2022-01-09","15:00","Metz",0.4,"0-2",3,"Strasbourg",5000,"Stade Saint-Symphorien","Antony Gautier","Match Report",NA
20,"Sun","2022-01-09","15:00","Clermont Foot",1.4,"0-0",0.9,"Reims",4923,"Stade Gabriel Montpied","Romain Lissorgue","Match Report",NA
20,"Sun","2022-01-09","17:05","Nantes",0.6,"0-0",1,"Monaco",4133,"Stade de la Beaujoire - Louis Fonteneau","Thomas Léonard","Match Report",NA
20,"Sun","2022-01-09","20:45","Lyon",1,"1-1",1.2,"Paris S-G",4977,"Groupama Stadium","François Letexier","Match Report",NA
21,"Fri","2022-01-14","21:00","Nice",1.9,"2-1",0.6,"Nantes",5000,"Stade de Nice","Ruddy Buquet","Match Report",NA
21,"Sat","2022-01-15","17:00","Saint-Étienne",1.1,"1-2",1,"Lens",5000,"Stade Geoffroy-Guichard","François Letexier","Match Report",NA
21,"Sat","2022-01-15","21:00","Paris S-G",2.4,"2-0",0.9,"Brest",4925,"Parc des Princes","Mikael Lesage","Match Report",NA
21,"Sun","2022-01-16","13:00","Rennes",3.3,"6-0",0.4,"Bordeaux",4951,"Roazhon Park","Bastien Dechepy","Match Report",NA
21,"Sun","2022-01-16","15:00","Reims",0.5,"0-1",1.1,"Metz",3923,"Stade Auguste-Delaune II","Jérémie Pignard","Match Report",NA
21,"Sun","2022-01-16","15:00","Monaco",3.4,"4-0",0.4,"Clermont Foot",2633,"Stade Louis II.","Jeremy Stinat","Match Report",NA
21,"Sun","2022-01-16","15:00","Lorient",0.6,"0-0",0.7,"Angers",4387,"Stade Yves Allainmat - Le Moustoir","Johan Hamel","Match Report",NA
21,"Sun","2022-01-16","15:00","Strasbourg",1.9,"3-1",1,"Montpellier",5217,"Stade de la Meinau","Pierre Gaillouste","Match Report",NA
21,"Sun","2022-01-16","17:05","Troyes",0.5,"0-1",2.8,"Lyon",4224,"Stade de l'Aube","Jérôme Brisard","Match Report",NA
