"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
30,"Sat","2022-04-02","19:00","Lille",3,"0-0",0,"Bordeaux",36351,"Stade Pierre-Mauroy","Bastien Dechepy","Match Report",NA
30,"Sun","2022-04-03","13:00","Strasbourg",2.5,"1-0",0.9,"Lens",26005,"Stade de la Meinau","François Letexier","Match Report",NA
30,"Sun","2022-04-03","15:00","Metz",0.9,"1-2",1.8,"Monaco",19812,"Stade Saint-Symphorien","Jérôme Brisard","Match Report",NA
30,"Sun","2022-04-03","15:00","Saint-Étienne",0.3,"2-4",3.7,"Marseille",41278,"Stade Geoffroy-Guichard","Clément Turpin","Match Report",NA
30,"Sun","2022-04-03","15:00","Troyes",1.3,"1-0",0.8,"Reims",9482,"Stade de l'Aube","Ruddy Buquet","Match Report",NA
30,"Sun","2022-04-03","15:00","Montpellier",1.8,"1-2",0.7,"Brest",10929,"Stade de la Mosson","Florent Batta","Match Report",NA
30,"Sun","2022-04-03","15:00","Clermont Foot",0.9,"2-3",1.8,"Nantes",11785,"Stade Gabriel Montpied","Mikael Lesage","Match Report",NA
30,"Sun","2022-04-03","17:05","Lyon",1.6,"3-2",1.7,"Angers",34376,"Groupama Stadium","Eric Wattellier","Match Report",NA
30,"Sun","2022-04-03","20:45","Paris S-G",1.7,"5-1",1,"Lorient",40000,"Parc des Princes","Hakim Ben El Hadj Salem","Match Report",NA
31,"Fri","2022-04-08","21:00","Lorient",3.6,"6-2",1.2,"Saint-Étienne",15407,"Stade Yves Allainmat - Le Moustoir","Ruddy Buquet","Match Report",NA
31,"Sat","2022-04-09","17:00","Reims",2.4,"2-3",1.5,"Rennes",10243,"Stade Auguste-Delaune II","Romain Lissorgue","Match Report",NA
31,"Sat","2022-04-09","21:00","Clermont Foot",1.2,"1-6",3.4,"Paris S-G",12264,"Stade Gabriel Montpied","Eric Wattellier","Match Report",NA
31,"Sun","2022-04-10","13:00","Bordeaux",1.7,"3-1",0.6,"Metz",21652,"Stade Matmut-Atlantique","Jérémie Pignard","Match Report",NA
31,"Sun","2022-04-10","15:00","Monaco",0.6,"2-1",1,"Troyes",4786,"Stade Louis II.","Mikael Lesage","Match Report",NA
31,"Sun","2022-04-10","15:00","Angers",0.7,"1-1",0.9,"Lille",9286,"Stade Raymond Kopa","Thomas Léonard","Match Report",NA
31,"Sun","2022-04-10","15:00","Brest",1.4,"1-1",0.7,"Nantes",13145,"Stade Francis-Le Blé","Johan Hamel","Match Report",NA
31,"Sun","2022-04-10","17:05","Lens",1,"3-0",2,"Nice",36668,"Stade Bollaert-Delelis","Willy Delajod","Match Report",NA
31,"Sun","2022-04-10","19:00","Strasbourg",1.3,"1-1",1.4,"Lyon",26073,"Stade de la Meinau","Clément Turpin","Match Report",NA
31,"Sun","2022-04-10","21:00","Marseille",2.8,"2-0",0.9,"Montpellier",51131,"Orange Vélodrome","Jeremy Stinat","Match Report",NA
32,"Fri","2022-04-15","21:00","Rennes",1.9,"2-3",2.9,"Monaco",28336,"Roazhon Park","Stéphanie Frappart","Match Report",NA
32,"Sat","2022-04-16","17:00","Saint-Étienne",0.9,"2-1",1.1,"Brest",27227,"Stade Geoffroy-Guichard","Eric Wattellier","Match Report",NA
32,"Sat","2022-04-16","21:00","Lille",0.8,"1-2",0.9,"Lens",48169,"Stade Pierre-Mauroy","Jérôme Brisard","Match Report",NA
32,"Sun","2022-04-17","13:00","Nice",2,"2-1",0.2,"Lorient",17212,"Stade de Nice","Amaury Delerue","Match Report",NA
32,"Sun","2022-04-17","15:00","Nantes",2.9,"1-1",1.1,"Angers",25102,"Stade de la Beaujoire - Louis Fonteneau","Bastien Dechepy","Match Report",NA
32,"Sun","2022-04-17","15:00","Metz",0.2,"1-1",2.7,"Clermont Foot",14335,"Stade Saint-Symphorien","Pierre Gaillouste","Match Report",NA
32,"Sun","2022-04-17","15:00","Montpellier",1.2,"0-0",1.6,"Reims",10170,"Stade de la Mosson","Antony Gautier","Match Report",NA
32,"Sun","2022-04-17","15:00","Troyes",1.5,"1-1",1.8,"Strasbourg",10000,"Stade de l'Aube","Benoît Millot","Match Report",NA
32,"Sun","2022-04-17","17:05","Lyon",2,"6-1",1.8,"Bordeaux",38713,"Groupama Stadium","Florent Batta","Match Report",NA
32,"Sun","2022-04-17","20:45","Paris S-G",1.3,"2-1",0.8,"Marseille",46000,"Parc des Princes","François Letexier","Match Report",NA
33,"Wed","2022-04-20","19:00","Reims",0.9,"2-1",1.1,"Lille",10910,"Stade Auguste-Delaune II","Hakim Ben El Hadj Salem","Match Report",NA
33,"Wed","2022-04-20","19:00","Monaco",2,"1-0",0.8,"Nice",10247,"Stade Louis II.","Benoît Millot","Match Report",NA
33,"Wed","2022-04-20","19:00","Bordeaux",1,"2-2",0.9,"Saint-Étienne",38515,"Stade Matmut-Atlantique","Benoît Bastien","Match Report",NA
33,"Wed","2022-04-20","19:00","Lorient",1.7,"1-0",1.5,"Metz",13544,"Stade Yves Allainmat - Le Moustoir","Mikael Lesage","Match Report",NA
33,"Wed","2022-04-20","19:00","Troyes",1.6,"0-1",0.4,"Clermont Foot",7800,"Stade de l'Aube","Jérémie Pignard","Match Report",NA
33,"Wed","2022-04-20","21:00","Angers",0.8,"0-3",1.5,"Paris S-G",13000,"Stade Raymond Kopa","Johan Hamel","Match Report",NA
33,"Wed","2022-04-20","21:00","Strasbourg",2.6,"2-1",0.9,"Rennes",25148,"Stade de la Meinau","Willy Delajod","Match Report",NA
33,"Wed","2022-04-20","21:00","Lens",0.9,"2-0",0.3,"Montpellier",36250,"Stade Bollaert-Delelis","Romain Lissorgue","Match Report",NA
33,"Wed","2022-04-20","21:00","Brest",1.2,"2-1",2.7,"Lyon",14028,"Stade Francis-Le Blé","Jeremy Stinat","Match Report",NA
33,"Wed","2022-04-20","21:00","Marseille",3.2,"3-2",0.5,"Nantes",55890,"Orange Vélodrome","Ruddy Buquet","Match Report",NA
34,"Sat","2022-04-23","17:00","Lyon",3.8,"5-2",2.1,"Montpellier",46608,"Groupama Stadium","François Letexier","Match Report",NA
34,"Sat","2022-04-23","19:00","Saint-Étienne",1.1,"1-4",2.9,"Monaco",30018,"Stade Geoffroy-Guichard","Bastien Dechepy","Match Report",NA
34,"Sat","2022-04-23","21:00","Paris S-G",2.1,"1-1",0.8,"Lens",47000,"Parc des Princes","Amaury Delerue","Match Report",NA
34,"Sun","2022-04-24","13:00","Rennes",1.6,"5-0",0.6,"Lorient",28324,"Roazhon Park","Benoît Millot","Match Report",NA
34,"Sun","2022-04-24","15:00","Metz",0.4,"0-1",2,"Brest",19874,"Stade Saint-Symphorien","Florent Batta","Match Report",NA
34,"Sun","2022-04-24","15:00","Nantes",2.3,"5-3",2.6,"Bordeaux",30000,"Stade de la Beaujoire - Louis Fonteneau","Clément Turpin","Match Report",NA
34,"Sun","2022-04-24","15:00","Nice",2,"1-0",0.4,"Troyes",17065,"Stade de Nice","Hakim Ben El Hadj Salem","Match Report",NA
34,"Sun","2022-04-24","15:00","Clermont Foot",1.9,"2-2",1.6,"Angers",11531,"Stade Gabriel Montpied","Stéphanie Frappart","Match Report",NA
34,"Sun","2022-04-24","17:05","Lille",0.7,"1-0",0.9,"Strasbourg",30211,"Stade Pierre-Mauroy","Jérémie Pignard","Match Report",NA
34,"Sun","2022-04-24","20:45","Reims",0.6,"0-1",0.7,"Marseille",20835,"Stade Auguste-Delaune II","Jérôme Brisard","Match Report",NA
35,"Fri","2022-04-29","21:00","Strasbourg",1.8,"3-3",1.8,"Paris S-G",26052,"Stade de la Meinau","Ruddy Buquet","Match Report",NA
35,"Sat","2022-04-30","17:00","Lens",2.3,"2-2",1.5,"Nantes",36727,"Stade Bollaert-Delelis","Thomas Léonard","Match Report",NA
35,"Sat","2022-04-30","21:00","Rennes",1.6,"2-0",0.4,"Saint-Étienne",27390,"Roazhon Park","Jeremy Stinat","Match Report",NA
35,"Sun","2022-05-01","13:00","Troyes",2.9,"3-0",0.6,"Lille",10497,"Stade de l'Aube","Willy Delajod","Match Report",NA
35,"Sun","2022-05-01","15:00","Brest",1.3,"2-0",1.3,"Clermont Foot",10592,"Stade Francis-Le Blé","Romain Lissorgue","Match Report",NA
35,"Sun","2022-05-01","15:00","Monaco",2.1,"2-0",0.6,"Angers",4616,"Stade Louis II.","Hakim Ben El Hadj Salem","Match Report",NA
35,"Sun","2022-05-01","15:00","Montpellier",2,"2-2",1.2,"Metz",10446,"Stade de la Mosson","Clément Turpin","Match Report",NA
35,"Sun","2022-05-01","15:00","Lorient",2,"1-2",1.9,"Reims",12216,"Stade Yves Allainmat - Le Moustoir","Pierre Gaillouste","Match Report",NA
35,"Sun","2022-05-01","17:05","Bordeaux",0.2,"0-1",2.7,"Nice",23552,"Stade Matmut-Atlantique","Johan Hamel","Match Report",NA
35,"Sun","2022-05-01","20:45","Marseille",1.5,"0-3",2.2,"Lyon",68784,"Orange Vélodrome","Antony Gautier","Match Report",NA
36,"Fri","2022-05-06","21:00","Lille",1.1,"1-2",0.4,"Monaco",39088,"Stade Pierre-Mauroy","François Letexier","Match Report",NA
36,"Sat","2022-05-07","17:00","Brest",0.5,"0-1",2.4,"Strasbourg",12093,"Stade Francis-Le Blé","Mikael Lesage","Match Report",NA
36,"Sun","2022-05-08","13:00","Metz",2.1,"3-2",2.1,"Lyon",20405,"Stade Saint-Symphorien","Eric Wattellier","Match Report",NA
36,"Sun","2022-05-08","15:00","Clermont Foot",2.2,"2-1",1.2,"Montpellier",11587,"Stade Gabriel Montpied","Benoît Bastien","Match Report",NA
36,"Sun","2022-05-08","15:00","Angers",2.8,"4-1",0.9,"Bordeaux",10852,"Stade Raymond Kopa","Benoît Millot","Match Report",NA
36,"Sun","2022-05-08","15:00","Reims",0.5,"1-2",1.9,"Lens",16962,"Stade Auguste-Delaune II","Vitor Ferreira Fernandes","Match Report",NA
36,"Sun","2022-05-08","17:05","Lorient",0.3,"0-3",1.8,"Marseille",16210,"Stade Yves Allainmat - Le Moustoir","Bastien Dechepy","Match Report",NA
36,"Sun","2022-05-08","20:45","Paris S-G",2.2,"2-2",1.4,"Troyes",45000,"Parc des Princes","Jérôme Brisard","Match Report",NA
36,"Wed","2022-05-11","19:00","Nice",1.4,"4-2",1.9,"Saint-Étienne",17704,"Stade de Nice","Ruddy Buquet","Match Report",NA
36,"Wed","2022-05-11","21:00","Nantes",1.1,"2-1",2.3,"Rennes",26359,"Stade de la Beaujoire - Louis Fonteneau","Antony Gautier","Match Report",NA
37,"Sat","2022-05-14","21:00","Nice",1.2,"1-3",2.1,"Lille",24232,"Stade de Nice","Thomas Léonard","Match Report",NA
37,"Sat","2022-05-14","21:00","Bordeaux",0.9,"0-0",0.6,"Lorient",23191,"Stade Matmut-Atlantique","Ruddy Buquet","Match Report",NA
37,"Sat","2022-05-14","21:00","Montpellier",0.7,"0-4",2.6,"Paris S-G",19586,"Stade de la Mosson","Jeremy Stinat","Match Report",NA
37,"Sat","2022-05-14","21:00","Rennes",1.5,"2-0",0.5,"Marseille",28811,"Roazhon Park","Benoît Bastien","Match Report",NA
37,"Sat","2022-05-14","21:00","Monaco",3.3,"4-2",1.6,"Brest",6000,"Stade Louis II.","Jérôme Brisard","Match Report",NA
37,"Sat","2022-05-14","21:00","Troyes",0.3,"1-3",0.8,"Lens",19000,"Stade de l'Aube","François Letexier","Match Report",NA
37,"Sat","2022-05-14","21:00","Strasbourg",1,"1-0",0.9,"Clermont Foot",25231,"Stade de la Meinau","Benoît Millot","Match Report",NA
37,"Sat","2022-05-14","21:00","Metz",0.5,"1-0",0.6,"Angers",17213,"Stade Saint-Symphorien","Jérémie Pignard","Match Report",NA
37,"Sat","2022-05-14","21:00","Lyon",2.4,"3-2",1.8,"Nantes",54404,"Groupama Stadium","Florent Batta","Match Report",NA
37,"Sat","2022-05-14","21:00","Saint-Étienne",1.5,"1-2",1.9,"Reims",NA,"Stade Geoffroy-Guichard","Clément Turpin","Match Report",NA
38,"Sat","2022-05-21","21:00","Lille",1.5,"2-2",1,"Rennes",40116,"Stade Pierre-Mauroy","Amaury Delerue","Match Report",NA
38,"Sat","2022-05-21","21:00","Brest",1.1,"2-4",3.4,"Bordeaux",14484,"Stade Francis-Le Blé","Hakim Ben El Hadj Salem","Match Report",NA
38,"Sat","2022-05-21","21:00","Nantes",2.2,"1-1",1.6,"Saint-Étienne",28636,"Stade de la Beaujoire - Louis Fonteneau","François Letexier","Match Report",NA
38,"Sat","2022-05-21","21:00","Clermont Foot",2.1,"1-2",2.1,"Lyon",12000,"Stade Gabriel Montpied","Mikael Lesage","Match Report",NA
38,"Sat","2022-05-21","21:00","Angers",2.2,"2-0",1.3,"Montpellier",11249,"Stade Raymond Kopa","Romain Lissorgue","Match Report",NA
38,"Sat","2022-05-21","21:00","Lorient",1.3,"1-1",0.5,"Troyes",15131,"Stade Yves Allainmat - Le Moustoir","Johan Hamel","Match Report",NA
38,"Sat","2022-05-21","21:00","Paris S-G",4.9,"5-0",0.4,"Metz",45000,"Parc des Princes","Antony Gautier","Match Report",NA
38,"Sat","2022-05-21","21:00","Reims",0.7,"2-3",1.9,"Nice",12589,"Stade Auguste-Delaune II","Eric Wattellier","Match Report",NA
38,"Sat","2022-05-21","21:00","Marseille",2.6,"4-0",0.9,"Strasbourg",63873,"Orange Vélodrome","Stéphanie Frappart","Match Report",NA
38,"Sat","2022-05-21","21:00","Lens",2.3,"2-2",1.2,"Monaco",37764,"Stade Bollaert-Delelis","Benoît Bastien","Match Report",NA
