paper_id,unique_participant_id,veracity,accuracy,scale
Allen_2021,Allen_2021_1_11,fake,4,7
Allen_2021,Allen_2021_1_11,fake,3,7
Allen_2021,Allen_2021_1_11,true,6,7
Allen_2021,Allen_2021_1_11,true,4,7
Allen_2021,Allen_2021_1_11,fake,1,7
Allen_2021,Allen_2021_1_11,fake,2,7
Allen_2021,Allen_2021_1_11,fake,2,7
Allen_2021,Allen_2021_1_11,true,6,7
Allen_2021,Allen_2021_1_11,fake,1,7
Allen_2021,Allen_2021_1_11,true,5,7
Allen_2021,Allen_2021_1_11,true,3,7
Allen_2021,Allen_2021_1_11,fake,2,7
Allen_2021,Allen_2021_1_11,fake,1,7
Allen_2021,Allen_2021_1_11,fake,5,7
Allen_2021,Allen_2021_1_11,fake,5,7
Allen_2021,Allen_2021_1_11,fake,4,7
Allen_2021,Allen_2021_1_11,fake,2,7
Allen_2021,Allen_2021_1_12,true,6,7
Allen_2021,Allen_2021_1_12,true,6,7
Allen_2021,Allen_2021_1_12,true,7,7
Allen_2021,Allen_2021_1_12,true,6,7
Allen_2021,Allen_2021_1_12,true,2,7
Allen_2021,Allen_2021_1_12,true,6,7
Allen_2021,Allen_2021_1_12,true,2,7
Allen_2021,Allen_2021_1_12,fake,2,7
Allen_2021,Allen_2021_1_12,true,6,7
Allen_2021,Allen_2021_1_12,true,2,7
Allen_2021,Allen_2021_1_12,true,5,7
Allen_2021,Allen_2021_1_12,true,7,7
Allen_2021,Allen_2021_1_12,true,6,7
Allen_2021,Allen_2021_1_12,true,6,7
Allen_2021,Allen_2021_1_12,true,5,7
Allen_2021,Allen_2021_1_12,fake,1,7
Allen_2021,Allen_2021_1_12,fake,2,7
Allen_2021,Allen_2021_1_12,true,5,7
Allen_2021,Allen_2021_1_12,fake,2,7
Allen_2021,Allen_2021_1_13,true,5,7
Allen_2021,Allen_2021_1_13,fake,3,7
Allen_2021,Allen_2021_1_13,true,4,7
Allen_2021,Allen_2021_1_13,true,2,7
Allen_2021,Allen_2021_1_13,true,6,7
Allen_2021,Allen_2021_1_13,true,3,7
Allen_2021,Allen_2021_1_13,fake,2,7
Allen_2021,Allen_2021_1_13,fake,3,7
Allen_2021,Allen_2021_1_13,fake,3,7
Allen_2021,Allen_2021_1_13,fake,2,7
Allen_2021,Allen_2021_1_13,true,3,7
Allen_2021,Allen_2021_1_13,true,5,7
Allen_2021,Allen_2021_1_13,fake,5,7
Allen_2021,Allen_2021_1_13,fake,5,7
Allen_2021,Allen_2021_1_13,true,6,7
Allen_2021,Allen_2021_1_13,true,5,7
Allen_2021,Allen_2021_1_13,true,3,7
Allen_2021,Allen_2021_1_13,true,2,7
Allen_2021,Allen_2021_1_13,fake,3,7
Allen_2021,Allen_2021_1_14,true,1,7
Allen_2021,Allen_2021_1_14,true,7,7
Allen_2021,Allen_2021_1_14,true,6,7
Allen_2021,Allen_2021_1_14,fake,4,7
Allen_2021,Allen_2021_1_14,true,4,7
Allen_2021,Allen_2021_1_14,fake,6,7
Allen_2021,Allen_2021_1_14,true,1,7
Allen_2021,Allen_2021_1_14,true,4,7
Allen_2021,Allen_2021_1_14,true,5,7
Allen_2021,Allen_2021_1_14,fake,3,7
Allen_2021,Allen_2021_1_14,fake,7,7
Allen_2021,Allen_2021_1_14,true,7,7
Allen_2021,Allen_2021_1_14,true,7,7
Allen_2021,Allen_2021_1_14,fake,7,7
Allen_2021,Allen_2021_1_14,true,1,7
Allen_2021,Allen_2021_1_14,true,7,7
Allen_2021,Allen_2021_1_14,true,1,7
Allen_2021,Allen_2021_1_15,true,5,7
Allen_2021,Allen_2021_1_15,fake,4,7
Allen_2021,Allen_2021_1_15,true,7,7
Allen_2021,Allen_2021_1_15,fake,1,7
Allen_2021,Allen_2021_1_15,true,7,7
Allen_2021,Allen_2021_1_15,fake,5,7
Allen_2021,Allen_2021_1_15,fake,1,7
Allen_2021,Allen_2021_1_15,true,6,7
Allen_2021,Allen_2021_1_15,true,5,7
Allen_2021,Allen_2021_1_15,true,6,7
Allen_2021,Allen_2021_1_15,true,7,7
Allen_2021,Allen_2021_1_15,true,7,7
Allen_2021,Allen_2021_1_15,fake,2,7
Allen_2021,Allen_2021_1_15,true,6,7
Allen_2021,Allen_2021_1_15,true,7,7
Allen_2021,Allen_2021_1_15,fake,4,7
Allen_2021,Allen_2021_1_15,fake,6,7
Allen_2021,Allen_2021_1_15,fake,6,7
Allen_2021,Allen_2021_1_15,true,4,7
Allen_2021,Allen_2021_1_15,fake,2,7
Allen_2021,Allen_2021_1_16,fake,4,7
Allen_2021,Allen_2021_1_16,fake,4,7
Allen_2021,Allen_2021_1_16,true,2,7
Allen_2021,Allen_2021_1_16,true,3,7
Allen_2021,Allen_2021_1_16,fake,2,7
Allen_2021,Allen_2021_1_16,true,3,7
Allen_2021,Allen_2021_1_16,true,5,7
Allen_2021,Allen_2021_1_16,fake,1,7
Allen_2021,Allen_2021_1_16,true,4,7
Allen_2021,Allen_2021_1_16,true,2,7
Allen_2021,Allen_2021_1_16,fake,3,7
Allen_2021,Allen_2021_1_16,true,6,7
Allen_2021,Allen_2021_1_16,true,4,7
Allen_2021,Allen_2021_1_16,true,4,7
Allen_2021,Allen_2021_1_16,true,4,7
Allen_2021,Allen_2021_1_16,fake,1,7
Allen_2021,Allen_2021_1_16,true,4,7
Allen_2021,Allen_2021_1_16,true,4,7
Allen_2021,Allen_2021_1_16,true,2,7
Allen_2021,Allen_2021_1_16,fake,1,7
Allen_2021,Allen_2021_1_17,fake,2,7
Allen_2021,Allen_2021_1_17,fake,1,7
Allen_2021,Allen_2021_1_17,true,4,7
Allen_2021,Allen_2021_1_17,true,2,7
Allen_2021,Allen_2021_1_17,true,4,7
Allen_2021,Allen_2021_1_17,true,3,7
Allen_2021,Allen_2021_1_17,true,6,7
Allen_2021,Allen_2021_1_17,true,5,7
Allen_2021,Allen_2021_1_17,true,6,7
Allen_2021,Allen_2021_1_17,fake,4,7
Allen_2021,Allen_2021_1_17,fake,1,7
Allen_2021,Allen_2021_1_17,true,6,7
Allen_2021,Allen_2021_1_17,true,1,7
Allen_2021,Allen_2021_1_17,true,1,7
Allen_2021,Allen_2021_1_17,true,1,7
Allen_2021,Allen_2021_1_17,true,4,7
Allen_2021,Allen_2021_1_17,true,3,7
Allen_2021,Allen_2021_1_17,true,2,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,fake,6,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,fake,5,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,fake,6,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,fake,6,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,fake,6,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,true,5,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,true,6,7
Allen_2021,Allen_2021_1_18,fake,6,7
Allen_2021,Allen_2021_1_18,fake,6,7
Allen_2021,Allen_2021_1_19,fake,6,7
Allen_2021,Allen_2021_1_19,fake,7,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_19,fake,6,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_19,fake,6,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_19,fake,7,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_19,true,7,7
Allen_2021,Allen_2021_1_19,true,7,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_19,true,6,7
Allen_2021,Allen_2021_1_20,fake,5,7
Allen_2021,Allen_2021_1_20,fake,7,7
Allen_2021,Allen_2021_1_20,true,5,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,fake,6,7
Allen_2021,Allen_2021_1_20,true,7,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,fake,6,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,true,5,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,true,6,7
Allen_2021,Allen_2021_1_20,fake,5,7
Allen_2021,Allen_2021_1_20,fake,5,7
Allen_2021,Allen_2021_1_20,fake,6,7
Allen_2021,Allen_2021_1_21,fake,6,7
Allen_2021,Allen_2021_1_21,true,6,7
Allen_2021,Allen_2021_1_21,true,5,7
Allen_2021,Allen_2021_1_21,fake,7,7
Allen_2021,Allen_2021_1_21,fake,6,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,6,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,6,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_21,true,7,7
Allen_2021,Allen_2021_1_22,true,3,7
Allen_2021,Allen_2021_1_22,true,5,7
Allen_2021,Allen_2021_1_22,fake,4,7
Allen_2021,Allen_2021_1_22,true,5,7
Allen_2021,Allen_2021_1_22,true,6,7
Allen_2021,Allen_2021_1_22,true,5,7
Allen_2021,Allen_2021_1_22,true,5,7
Allen_2021,Allen_2021_1_22,fake,3,7
Allen_2021,Allen_2021_1_22,true,5,7
Allen_2021,Allen_2021_1_22,true,4,7
Allen_2021,Allen_2021_1_22,true,3,7
Allen_2021,Allen_2021_1_22,true,4,7
Allen_2021,Allen_2021_1_22,fake,3,7
Allen_2021,Allen_2021_1_22,true,4,7
